cgpa,backlogs,internships,skills_count,branch,placed
7.59,2,1,6,ECE,0
8.52,2,2,1,CIVIL,0
6.82,0,2,6,ECE,1
9.86,2,3,10,CSE,1
9.81,5,1,8,CSE,0
6.26,3,2,2,ECE,1
7.49,3,1,2,CIVIL,0
6.5,0,2,4,CIVIL,0
6.42,2,0,3,CIVIL,0
5.18,2,2,4,CSE,1
8.05,2,0,7,ECE,1
7.51,4,2,1,MECH,0
5.26,1,3,6,CSE,1
6.39,4,0,3,CIVIL,0
9.54,1,2,10,ECE,1
6.2,2,3,7,CIVIL,0
5.72,2,0,10,MECH,0
7.45,4,3,2,CIVIL,0
9.93,4,1,2,CIVIL,0
6.21,1,1,4,MECH,0
8.36,3,0,1,ECE,0
8.81,1,2,3,CSE,1
6.19,4,0,9,ECE,0
8.64,5,3,7,MECH,1
6.84,4,2,7,CIVIL,0
8.16,5,1,4,ECE,0
8.17,0,2,2,CSE,1
7.68,4,1,4,MECH,0
5.45,0,2,6,ECE,1
9.18,3,2,3,CSE,1
6.6,1,2,1,MECH,1
5.93,5,3,8,CSE,1
5.2,1,3,5,MECH,0
7.95,0,0,5,CIVIL,1
8.39,5,0,4,ECE,0
5.08,1,1,6,CSE,1
7.56,4,3,3,MECH,0
6.13,2,1,9,CSE,0
8.23,0,0,5,CSE,1
5.87,1,1,3,ECE,1
8.45,0,0,1,CIVIL,1
6.93,0,3,10,CSE,1
9.68,5,2,6,MECH,0
5.69,5,3,2,MECH,0
6.71,2,1,3,CIVIL,0
5.57,4,1,1,MECH,0
9.62,0,3,9,CIVIL,1
9.39,1,3,8,MECH,1
6.29,3,0,2,ECE,0
8.3,0,1,8,CSE,1
9.09,0,1,9,ECE,1
7.78,2,3,1,CSE,1
7.65,4,2,5,CSE,0
6.21,3,1,8,CSE,0
5.47,5,2,2,ECE,0
9.49,5,3,4,CSE,1
9.5,1,3,7,ECE,1
8.17,3,0,3,CIVIL,0
6.7,5,1,5,MECH,0
6.75,1,2,8,MECH,1
8.63,4,0,10,CSE,0
9.49,1,1,3,ECE,1
9.44,5,0,4,MECH,0
8.9,2,3,9,ECE,1
8.21,2,1,7,ECE,1
5.42,2,0,1,CSE,0
5.81,5,0,4,MECH,0
9.49,2,2,4,CSE,1
8.03,3,0,9,CSE,0
5.05,4,1,6,MECH,0
5.51,1,1,9,MECH,0
8.32,1,2,6,CIVIL,0
5.03,5,1,6,CIVIL,0
5.8,2,3,5,ECE,1
7.74,2,1,5,MECH,0
8.46,0,1,2,CIVIL,0
8.26,4,0,8,ECE,0
6.12,3,0,8,ECE,0
8.56,1,1,1,ECE,1
6.19,0,2,8,CIVIL,0
6.63,0,0,5,MECH,0
8.73,5,2,2,CSE,1
8.25,1,1,2,ECE,0
9.25,5,1,6,CIVIL,0
8.29,3,3,9,CIVIL,1
7.84,0,0,1,CSE,0
5.47,0,1,6,CSE,1
6.84,4,3,9,CIVIL,0
6.33,3,0,8,MECH,0
6.22,0,1,6,CSE,1
9.87,3,1,3,CIVIL,0
6.97,1,0,8,CSE,1
9.46,2,0,9,MECH,0
8.16,0,0,1,ECE,0
8.97,4,1,9,CSE,1
7.51,1,1,6,MECH,1
7.88,3,3,6,CIVIL,0
7.46,5,2,4,CSE,0
5.98,1,0,1,CSE,0
8.61,0,1,10,CIVIL,1
6.4,3,1,8,ECE,0
5.12,2,0,2,CIVIL,0
8.23,1,2,1,CSE,1
5.89,0,0,2,CIVIL,0
9.7,4,2,1,MECH,0
9.77,5,1,1,CIVIL,0
9.57,3,2,9,CSE,1
6.85,1,3,1,CIVIL,1
5.08,1,1,4,ECE,0
9.64,2,3,10,CIVIL,1
7.14,2,0,6,ECE,0
9.83,4,0,7,MECH,1
9.82,5,0,2,ECE,0
9.27,4,2,6,CIVIL,0
6.47,0,1,7,CSE,1
6.93,0,0,10,ECE,1
9.26,4,0,10,MECH,0
6.58,5,1,2,ECE,0
5.85,4,0,2,ECE,0
7.78,5,3,10,ECE,0
9.68,5,1,7,MECH,0
8.48,3,1,1,CIVIL,0
7.85,5,1,8,ECE,0
5.49,2,3,3,ECE,0
8.08,5,1,6,CSE,0
9.95,5,3,9,MECH,0
5.7,5,1,6,ECE,0
7.59,0,2,9,MECH,1
9.39,2,0,7,ECE,0
8.7,2,2,9,CIVIL,1
8.49,4,0,2,CIVIL,0
8.51,3,3,8,ECE,1
6.8,5,2,8,CIVIL,0
6.47,1,1,2,ECE,1
9.05,3,0,4,CIVIL,0
9.05,3,0,7,CSE,0
9.34,2,2,4,CSE,1
9.57,3,3,4,CSE,1
7.56,5,2,6,MECH,0
7.51,5,3,10,MECH,1
8.99,0,3,6,CSE,1
8.25,5,0,10,MECH,0
8.51,5,2,3,CIVIL,0
8.98,2,2,9,ECE,1
9.45,5,3,10,ECE,1
6.69,0,2,2,ECE,0
6.88,1,1,6,CSE,1
5.47,2,1,7,MECH,0
7.89,1,2,9,CIVIL,1
5.18,2,2,3,CIVIL,0
7.33,4,3,10,CSE,1
7.71,3,1,3,CIVIL,0
6.43,4,1,7,CIVIL,0
7.95,5,0,4,CIVIL,0
5.15,1,3,8,CIVIL,0
5.19,5,0,7,MECH,0
9.11,3,1,5,CIVIL,0
6.8,2,3,7,ECE,1
5.64,3,2,3,CSE,0
7.61,0,3,2,MECH,1
8.85,3,2,6,CIVIL,0
6.08,0,2,2,MECH,1
8.11,3,3,3,CIVIL,1
5.43,0,2,6,ECE,1
5.26,1,0,5,CSE,0
7.66,5,1,8,CIVIL,0
7.7,5,2,9,CIVIL,0
8.19,4,0,3,CIVIL,0
8.63,5,2,10,CIVIL,0
9.88,2,1,3,CSE,1
7.58,3,0,3,CSE,0
6.61,4,1,6,ECE,0
8.98,2,1,1,CSE,0
6.35,2,0,7,CIVIL,0
7.19,0,0,1,ECE,1
5.39,5,0,5,ECE,0
5.13,1,3,10,ECE,0
9.81,1,0,8,CIVIL,0
9.18,4,0,4,MECH,0
8.48,1,0,5,CIVIL,0
7.04,3,0,4,CSE,0
5.87,1,2,4,CSE,1
5.78,4,3,8,CIVIL,0
6.25,1,1,2,CIVIL,0
7.75,3,0,1,ECE,0
8.57,0,2,3,CIVIL,0
8.3,4,2,9,ECE,0
6.4,0,2,4,CSE,1
9.77,0,1,10,ECE,1
8.69,0,0,5,CIVIL,0
7.77,2,3,2,CSE,1
8.06,5,3,4,MECH,1
7.1,2,2,2,ECE,1
6.24,5,1,2,CSE,0
6.78,0,1,4,ECE,1
8.79,4,1,6,CSE,1
5.07,5,3,7,CSE,0
5.58,3,2,10,ECE,1
5.23,3,0,3,MECH,0
5.2,1,3,3,CSE,1
9.28,5,2,10,CSE,1
8.52,4,2,6,CSE,1
7.37,2,0,3,MECH,0
5.49,0,0,2,MECH,0
7.46,1,0,8,CIVIL,0
7.37,3,1,5,ECE,0
5.87,2,0,1,MECH,0
7.17,2,2,3,ECE,0
6.99,0,0,10,CIVIL,0
8.08,5,2,8,ECE,1
8.18,3,3,4,MECH,0
5.23,4,1,7,ECE,0
6.87,2,3,10,MECH,1
8.13,0,3,2,ECE,1
7.52,4,2,7,MECH,0
9.28,5,3,5,MECH,0
8.29,3,2,5,ECE,1
5.81,5,0,6,CIVIL,0
5.35,2,0,9,CSE,0
8.21,4,2,6,CIVIL,0
5.13,4,0,8,ECE,0
7.93,4,1,7,CIVIL,0
9.7,2,3,9,MECH,1
7.88,2,1,4,CSE,0
6.94,5,3,2,ECE,0
8.22,1,0,7,ECE,1
7.29,5,1,6,ECE,0
7.73,3,0,1,CSE,0
9.71,0,3,9,MECH,1
6.93,4,2,9,ECE,0
9.81,1,2,2,CIVIL,1
9.53,0,1,3,ECE,1
5.98,1,0,5,ECE,0
5.35,5,0,5,ECE,0
5.5,2,1,1,ECE,0
5.09,4,2,8,MECH,0
5.47,5,3,8,CIVIL,0
8.42,0,1,4,MECH,1
5.36,0,3,7,CIVIL,0
6.59,0,2,10,ECE,1
9.22,0,0,3,CSE,1
5.12,0,2,6,MECH,1
9.07,1,1,10,CSE,1
6.41,5,0,10,MECH,0
5.59,4,1,9,ECE,0
8.48,2,1,1,MECH,0
8.14,2,2,5,ECE,1
9.39,5,1,4,MECH,0
8.68,5,2,8,ECE,1
9.02,2,0,1,ECE,0
6.41,2,2,9,CIVIL,0
5.89,1,0,6,ECE,0
8.75,3,2,4,CIVIL,0
9.03,4,3,9,ECE,1
9.95,0,3,5,CSE,1
7.06,3,1,5,ECE,0
6.86,5,2,5,CSE,0
8.88,2,2,1,CSE,1
6.7,3,0,1,ECE,0
9.65,4,1,8,CSE,1
9.29,5,2,8,CIVIL,0
7.14,0,1,6,MECH,1
8.75,0,3,4,ECE,1
8.77,4,2,2,CSE,1
5.52,4,2,2,ECE,0
9.51,2,1,9,CIVIL,1
7.53,0,2,5,ECE,1
9.13,5,1,4,ECE,0
6.6,3,2,10,CSE,1
9.48,5,0,1,CIVIL,0
6.95,1,1,7,MECH,0
5.05,1,2,3,MECH,0
9.53,4,3,6,CSE,1
5.46,2,2,5,ECE,1
6.6,1,3,5,CSE,1
9.75,0,3,5,CSE,1
9.75,5,0,1,CSE,0
7.87,5,1,1,ECE,0
8.16,4,2,3,CIVIL,0
7.24,3,0,10,CSE,0
6.47,4,2,4,ECE,1
6.64,3,3,5,CIVIL,0
8.36,4,1,2,CSE,0
8.76,4,2,8,MECH,0
8.96,4,2,2,CIVIL,0
8.95,3,3,9,CSE,1
5.46,3,2,2,CIVIL,0
7.47,4,2,9,CIVIL,0
5.29,1,3,7,CIVIL,0
7.75,2,0,8,CIVIL,0
7.21,2,3,2,CIVIL,0
9.44,2,0,7,CIVIL,0
6.75,3,1,6,CSE,0
5.59,3,0,4,MECH,0
5.71,1,0,7,ECE,0
8.81,2,1,4,CIVIL,0
8.09,2,0,2,ECE,0
5.51,4,3,10,CSE,1
5.42,3,0,7,CIVIL,0
8.5,2,1,8,MECH,0
5.36,5,3,2,ECE,0
9.11,1,1,5,CIVIL,0
8.53,5,1,1,CSE,0
5.41,5,2,7,MECH,0
5.42,1,2,8,ECE,0
9.93,5,1,6,ECE,0
6.87,2,1,5,CIVIL,0
6.85,3,1,6,MECH,0
9.06,1,2,2,MECH,1
9.74,4,2,1,MECH,0
9.93,5,0,7,MECH,0
8.77,1,0,7,CSE,1
6.88,0,1,10,MECH,1
5.42,0,3,10,ECE,1
8.89,3,3,2,ECE,1
7.79,2,2,2,CSE,1
7.12,3,2,1,ECE,0
9.53,3,2,10,ECE,1
5.56,3,1,8,MECH,0
7.46,3,3,8,ECE,0
5.06,4,0,1,CSE,0
7.34,4,1,8,MECH,0
5.28,1,0,9,CIVIL,0
5.59,0,0,4,MECH,0
5.59,3,1,1,CSE,0
8.25,1,0,1,MECH,0
8.73,0,3,3,MECH,1
7.92,5,0,5,CSE,0
9.81,2,3,5,MECH,1
6.87,4,3,9,CSE,1
6.43,5,3,10,CSE,0
9.34,0,2,2,CIVIL,0
6.12,5,0,2,ECE,0
9.82,2,1,6,ECE,1
5.06,0,1,9,MECH,0
9.85,5,0,1,MECH,0
5.22,4,2,9,CIVIL,0
9.46,4,2,9,CIVIL,0
7.64,1,3,9,CIVIL,1
9.96,5,0,5,CSE,0
5.37,3,0,9,CIVIL,0
7.77,5,1,4,CIVIL,0
9.85,0,0,2,MECH,0
7.62,0,2,6,CIVIL,1
8.15,5,0,4,CSE,0
8.48,2,1,6,CSE,1
7.27,4,3,3,MECH,0
8.14,0,1,6,CIVIL,1
7.92,4,1,2,CIVIL,0
9.51,0,3,2,CSE,1
5.23,1,1,9,CIVIL,0
6.4,3,1,7,CIVIL,0
9.75,0,0,3,CIVIL,0
9.45,4,0,1,ECE,0
7.28,1,3,8,MECH,1
8.1,0,0,6,ECE,0
6.39,2,0,7,MECH,0
5.94,3,1,9,CSE,0
7.32,0,2,5,CIVIL,1
6.77,1,0,1,MECH,0
7.92,2,2,10,ECE,1
5.39,5,0,7,CIVIL,0
9.87,1,0,5,CSE,1
9.93,1,3,3,MECH,1
